﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0yJ8TbTxicFhMDcTDvaHbf","Gesi Bağları","Selda Bağcan","Türkülerimiz 1","1","10","211748","spotify:user:mrkaan888","2017-10-02T06:59:35Z"
"spotify:track:2CRneWVrw2goQMbAyxvFj9","Sarı Saçlım Mavi Gözlüm (Bir Daha Gel Samsun'dan)","Selda Bağcan","40 Yılın 40 Şarkısı","1","12","251062","spotify:user:mrkaan888","2017-10-02T07:00:37Z"
"spotify:track:1auo6ao7Wq8BkcqHVX8TeG","Kızıldere","Selda Bağcan","40 Yılın 40 Şarkısı","1","9","214491","spotify:user:mrkaan888","2017-10-02T07:05:11Z"
"spotify:track:276GFhR0cmWFY2K8jtHoTh","Vurulduk Ey Halkım Unutma Bizi","Selda Bağcan","40 Yılın 40 Şarkısı","1","10","113580","spotify:user:mrkaan888","2017-10-02T07:08:33Z"
"spotify:track:5MTstlAvi31zhFNfZ85bxg","Üşür Ölüm Bile","Selda Bağcan","Özgürlük ve Demokrasiyi Çizmek","1","8","144457","spotify:user:mrkaan888","2017-10-02T07:27:19Z"
"spotify:track:5BEiH4nvGFLRjP2JC7yxLo","Türk Köylüsü","Selda Bağcan","Koçero","1","6","302524","spotify:user:mrkaan888","2017-10-02T07:40:16Z"
"spotify:track:3zR8CgfnbNsBL1BvuSCl2J","Geçmişin Yükü","Pentagram","Akustik","1","2","308802","spotify:user:mrkaan888","2017-10-06T16:14:10Z"
"spotify:track:64kptUxbrFKtgvyBsf8KZ6","Müptezel","Son Feci Bisiklet","Kötü Şeyler","1","6","230810","spotify:user:mrkaan888","2017-10-07T14:03:09Z"
"spotify:track:5SSxVrcoUYe0iHtug4rPtY","Baba","Diyar Pala","Original","1","3","223986","spotify:user:mrkaan888","2017-10-12T13:55:24Z"
"spotify:track:3vcg88w3EHtespAzrg8AhE","Sevdik Sevdalandık","Eda Baba","Sevdik Sevdalandık","1","1","247276","spotify:user:mrkaan888","2017-10-13T05:03:23Z"
"spotify:track:6sDQ4uiWw9OdVrCXFLSlZt","Rap God","Eminem","The Marshall Mathers LP2 (Deluxe)","1","9","363521","spotify:user:mrkaan888","2017-10-23T06:01:47Z"
"spotify:track:6yr8GiTHWvFfi4o6Q5ebdT","'Till I Collapse","Eminem, Nate Dogg","The Eminem Show","1","18","297893","spotify:user:mrkaan888","2017-10-23T06:04:03Z"
"spotify:track:1t41qaiW5DWmL9axVrDbHO","Yarim Yarim","Volkan Konak","Mimoza","1","3","263866","spotify:user:mrkaan888","2017-10-24T21:38:12Z"
"spotify:track:5Dd5wEHGdnO39rgp0vBog0","İki Keklik","Orhan Hakalmaz","Destegül","1","1","292973","spotify:user:mrkaan888","2017-10-31T18:49:03Z"
"spotify:track:6ipD1hZiTp2CKqy2hNnrU1","Yeşil Ördek","Orhan Hakalmaz","Türküler 1","1","3","203573","spotify:user:mrkaan888","2017-10-31T18:49:21Z"
"spotify:track:5nzcv5GNfVEq4nL7xVADIY","Şu Kışlanın Kapısına","Orhan Hakalmaz","Destegül","1","2","213853","spotify:user:mrkaan888","2017-10-31T19:09:38Z"
"spotify:track:6IqNxusHBgmEWzpDCns6ss","Salında Gel","Orhan Hakalmaz","Destegül","1","11","193506","spotify:user:mrkaan888","2017-10-31T19:09:47Z"
"spotify:track:19vyqTbRVkcBkYPbhbZlJd","Boşver Arkadaş (Haydi Sil Gözlerini)","İlhan İrem","Işık ve Sevgiyle 30 Yıl","1","1","186800","spotify:user:mrkaan888","2017-11-09T20:09:37Z"
"spotify:track:3IfKaEFkWtO8PmgyucnQzi","Dolunay","Halil Sezai","Ey Aşk","1","9","249895","spotify:user:mrkaan888","2017-11-11T01:15:35Z"
"spotify:track:1wKvjOn3Qk6jYzGGTvp63B","Memleketsiz","Gazapizm","Bir Gün Her Şey","1","8","209016","spotify:user:mrkaan888","2017-11-18T22:23:14Z"
"spotify:track:3XaxojAGnVrRm6gGomvhfF","Gülpembe","Barış Manço","Barış Manço Forever","1","10","288306","spotify:user:mrkaan888","2017-11-19T07:56:46Z"
"spotify:track:6O6uCLip9LyOJhm6iV7M2y","Long Nights","Eddie Vedder","Into The Wild (Music For The Motion Picture)","1","5","151773","spotify:user:mrkaan888","2017-11-21T12:14:28Z"
"spotify:track:7jBf2bHHVJ7a6GdrlcxbJ5","Kal","Atiye, Teoman","Atiye","1","3","202426","spotify:user:mrkaan888","2017-11-28T22:51:51Z"
"spotify:track:1xzkfz6foRy8uARKXY4vPD","Adın Çıkar Deliye","Barış Akarsu","Düşmeden Bulutlarda Koşmam Gerek","1","4","254653","spotify:user:mrkaan888","2017-12-06T20:48:57Z"
"spotify:track:6NmEhjG8TNZIKiU0EUuC4R","Her Şeyi Yak","Barış Akarsu","Ayrılık Zamansız Gelir","1","3","255493","spotify:user:mrkaan888","2017-12-06T20:49:08Z"
"spotify:track:5EpAbNtfAsYwLx3zIZAAfY","Unutamadım","Barış Akarsu","Ayrılık Zamansız Gelir","1","2","199040","spotify:user:mrkaan888","2017-12-06T20:57:59Z"
"spotify:track:4dvI8tkZvMFVrHXbKvqmFV","Yalan Dünya","Barış Akarsu","Düşmeden Bulutlarda Koşmam Gerek","1","8","218160","spotify:user:mrkaan888","2017-12-06T21:33:04Z"
"spotify:track:0A7wWLug3pgrm3HvmyI3Gh","Gece","Şanışer, Server Uraz","Otuzuncu Gün","1","3","170993","spotify:user:mrkaan888","2017-12-11T23:23:31Z"
"spotify:track:1En99nPXGfJS8pgU1UiU0s","People Help The People","Birdy","People Help The People","1","1","256236","spotify:user:mrkaan888","2017-12-11T23:26:57Z"
"spotify:track:0ykqIstarcmof2RRu2V7Ve","Bana Ne Yaptın","Cem Adrian","Kayıp Çocuk Masalları","1","4","457906","spotify:user:mrkaan888","2017-12-12T00:52:54Z"
"spotify:track:6RV9sudwsLL1NhA3OvWW6b","O Kirpik Hala Bende Sevgilim","Cem Adrian","Kayıp Çocuk Masalları","1","8","312880","spotify:user:mrkaan888","2017-12-12T00:53:01Z"
"spotify:track:0cuC8CZHe8gyVHvkesqd2F","Boşver","Anıl Piyancı","Boşver","1","1","183409","spotify:user:mrkaan888","2017-12-12T00:53:17Z"
"spotify:track:2447kmmuvZ1GsqUczFZZoj","I Know","Tom Odell","Long Way Down (Deluxe)","1","4","232626","spotify:user:mrkaan888","2017-12-12T00:53:25Z"
"spotify:track:5zT5cMnMKoyruPj13TQXGx","I Found","Amber Run","5AM (Deluxe)","1","1","273000","spotify:user:mrkaan888","2017-12-12T00:53:30Z"
"spotify:track:7mAvh3auAemE7T03Lep5N5","What You Do","Margaret","What You Do","1","1","184104","spotify:user:mrkaan888","2017-12-12T10:10:55Z"
"spotify:track:3CVF2DP5Ak8ROMLPIFE7NP","Drunk Tonight","Emmelie de Forest","Drunk Tonight","1","1","199999","spotify:user:mrkaan888","2017-12-12T10:26:39Z"
"spotify:track:0DThnYbKoV9y16FPzdDL9h","Daglara Gel Daglara","Grup Yorum","Cesaret","1","1","212555","spotify:user:mrkaan888","2017-12-14T14:16:00Z"
"spotify:track:6iWvJmp3gA8DxTuN4BSECB","Baytar","Sagopa Kajmer","Kalp Hastası","1","7","374960","spotify:user:mrkaan888","2017-12-15T05:29:26Z"
"spotify:track:5VEqbMBabcaoFzhmKfdqNo","Yarem","Norm Ender","Aura","1","5","192138","spotify:user:mrkaan888","2017-12-15T05:29:40Z"
"spotify:track:0oMGV0uqd1AS28Nho02LiP","Kaktüs","Norm Ender","Aura","1","6","201075","spotify:user:mrkaan888","2017-12-19T14:27:31Z"
"spotify:track:6uEdOG7mPKPPffbxXnB2IN","Wham Bam","Dick Walter","Classic Sounds, Classic Songs 3","1","10","161480","spotify:user:mrkaan888","2017-12-16T13:16:47Z"
"spotify:track:6UjAK23BouDme1ZhpjBOcJ","Sometimes","Skillet","Awake","1","10","206933","spotify:user:mrkaan888","2017-12-18T10:09:11Z"
